Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,63.78,146.54,8.95,29.08,28.45,65.11,5.02,0.65,3.40,3.00,2.03,NA,1.49,1.76,1.66,NA,95.88,0.22,158.66,0.00,0.00,99.15,NA,NA
2021-01-01 01:00:00,62.50,137.02,14.60,27.50,42.05,78.61,5.12,0.68,3.01,2.93,1.98,NA,1.52,1.75,1.73,NA,95.82,0.20,288.12,0.00,0.00,113.68,NA,NA
2021-01-01 02:00:00,60.88,126.56,11.62,28.50,40.10,73.27,4.81,0.66,4.50,2.98,1.98,NA,1.53,1.78,1.78,NA,95.60,0.34,238.75,0.00,0.00,129.52,NA,NA
2021-01-01 03:00:00,55.89,115.34,8.75,27.95,36.38,67.54,4.66,0.66,5.16,2.96,1.98,NA,1.50,1.77,1.76,NA,95.55,0.28,45.12,0.00,0.00,129.50,NA,NA
2021-01-01 04:00:00,50.72,103.05,8.43,27.58,34.50,65.14,4.64,0.90,4.59,3.00,2.00,NA,1.52,1.75,1.69,NA,95.86,0.18,111.38,0.00,0.00,131.57,NA,NA
2021-01-01 05:00:00,49.81,99.38,12.55,26.38,38.90,72.86,4.64,0.96,3.68,3.01,2.00,NA,1.53,1.79,1.72,NA,95.84,0.38,31.82,0.00,0.00,132.25,NA,NA
2021-01-01 06:00:00,48.27,93.08,14.80,30.48,45.25,80.85,4.64,1.06,3.04,2.98,1.98,NA,1.50,1.78,1.76,NA,95.81,0.44,95.01,0.00,0.00,133.20,NA,NA
2021-01-01 07:00:00,44.16,89.50,13.95,27.50,41.45,77.99,4.54,1.17,3.38,3.03,2.00,NA,1.51,1.76,1.77,NA,95.79,0.45,70.04,0.00,0.00,139.28,NA,NA
2021-01-01 08:00:00,40.15,88.72,12.75,28.62,41.40,75.18,4.60,1.14,4.48,3.04,2.00,NA,1.49,1.76,1.78,NA,95.58,0.42,101.33,0.00,0.00,158.70,NA,NA
2021-01-01 09:00:00,43.33,87.76,12.23,27.82,40.05,74.24,4.62,1.10,5.69,3.04,2.03,NA,1.51,1.76,1.78,NA,95.54,0.53,124.20,0.00,0.00,178.78,NA,NA
2021-01-01 10:00:00,46.48,94.52,9.62,30.78,40.08,72.57,4.86,1.11,5.32,3.00,2.01,NA,1.50,1.76,1.74,NA,95.88,0.46,125.78,0.00,0.00,201.35,NA,NA
2021-01-01 11:00:00,51.32,105.84,16.02,30.75,46.72,85.19,4.99,1.29,6.53,3.01,1.97,NA,1.49,1.78,1.71,NA,95.88,0.38,61.72,0.00,0.00,219.50,NA,NA
2021-01-01 12:00:00,62.79,123.65,13.98,29.68,43.60,81.81,5.03,1.03,9.36,3.02,2.04,NA,1.52,1.76,1.79,NA,95.90,0.48,89.94,0.00,0.00,264.75,NA,NA
2021-01-01 13:00:00,69.83,144.66,11.40,30.67,41.42,77.94,5.03,1.10,13.10,3.18,2.00,NA,1.52,1.75,1.78,NA,95.85,0.63,107.90,0.00,0.00,229.68,NA,NA
2021-01-01 14:00:00,70.67,147.13,12.10,31.28,42.95,79.99,5.24,1.12,16.92,2.96,2.00,NA,1.41,1.76,1.77,NA,95.51,0.70,114.66,0.00,0.00,149.75,NA,NA
2021-01-01 15:00:00,69.13,146.65,13.85,32.47,46.35,86.06,5.29,1.15,16.55,3.03,2.00,NA,1.51,1.74,1.73,NA,95.35,0.47,99.06,0.00,0.00,120.05,NA,NA
2021-01-01 16:00:00,70.22,155.89,12.75,32.40,44.35,81.82,4.95,1.26,13.09,2.99,2.01,NA,1.54,1.78,1.89,NA,95.74,0.40,142.79,0.00,0.00,98.85,NA,NA
2021-01-01 17:00:00,76.46,171.49,15.88,30.25,45.92,84.61,5.22,1.42,5.43,3.01,2.01,NA,1.52,1.78,1.77,NA,95.84,0.37,264.46,0.00,0.00,94.48,NA,NA
2021-01-01 18:00:00,73.32,169.26,10.75,32.55,41.40,75.16,5.00,1.14,4.70,2.91,1.98,NA,1.49,1.74,1.75,NA,95.91,0.34,151.55,0.00,0.00,128.88,NA,NA
2021-01-01 19:00:00,66.33,159.73,16.50,30.25,46.68,83.40,5.01,1.38,3.96,3.01,2.00,NA,1.49,1.75,1.86,NA,95.85,0.33,98.26,0.00,0.00,131.05,NA,NA
2021-01-01 20:00:00,65.17,155.11,12.78,32.38,45.15,81.28,4.88,1.36,4.50,3.00,1.99,NA,1.50,1.75,1.78,NA,95.63,0.42,102.10,0.00,0.00,129.73,NA,NA
2021-01-01 21:00:00,66.50,157.28,11.05,30.67,41.70,75.04,4.67,1.08,10.22,2.92,1.96,NA,1.47,1.78,1.77,NA,95.57,0.40,66.47,0.00,0.00,128.85,NA,NA
2021-01-01 22:00:00,64.42,152.30,9.85,26.75,35.67,66.93,4.57,1.08,11.76,3.09,2.04,NA,1.47,1.73,1.75,NA,95.90,0.32,50.80,0.00,0.00,128.05,NA,NA
