Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,34.95,189.08,3.85,8.08,11.90,27.45,5.40,0.95,2.46,2.50,NA,NA,0.87,62.60,10.24,NA,95.24,0.23,188.75,0.00,0.00,147.67,NA,NA
2019-01-01 01:00:00,34.10,187.10,3.98,8.15,12.10,27.42,5.25,1.08,1.68,2.50,NA,NA,0.88,62.60,10.23,NA,95.24,0.15,205.87,0.00,0.00,148.03,NA,NA
2019-01-01 02:00:00,34.10,187.10,4.02,7.90,11.92,27.43,5.69,1.57,1.69,2.50,NA,NA,0.88,62.60,10.23,NA,95.24,0.21,230.97,0.00,0.00,190.74,NA,NA
2019-01-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-01 08:00:00,34.10,187.10,4.00,8.10,12.05,27.45,6.18,1.78,1.88,2.50,NA,NA,0.88,62.60,10.23,NA,95.04,0.52,193.83,0.00,0.00,243.00,NA,NA
2019-01-01 09:00:00,34.10,226.00,4.10,8.22,12.30,27.51,7.74,2.13,3.21,1.06,NA,NA,0.37,26.55,4.34,NA,89.75,0.72,252.66,0.00,0.00,288.02,NA,NA
2019-01-01 10:00:00,41.55,383.05,3.97,7.72,11.70,27.56,9.59,1.76,4.31,2.50,NA,NA,0.87,62.59,10.23,NA,81.11,0.64,249.12,0.00,0.00,387.90,NA,NA
2019-01-01 11:00:00,46.27,290.48,4.12,8.07,12.22,27.49,13.43,1.59,4.59,2.50,NA,NA,0.87,62.59,10.23,NA,75.49,0.74,248.59,0.00,0.00,467.58,NA,NA
2019-01-01 12:00:00,51.25,285.65,3.70,8.15,11.82,27.37,14.55,1.11,8.29,2.51,NA,NA,0.87,62.59,10.24,NA,74.03,0.85,248.76,0.00,0.00,410.47,NA,NA
2019-01-01 13:00:00,50.60,282.38,3.85,8.00,11.85,27.55,13.44,1.02,10.92,2.53,NA,NA,0.87,62.59,10.23,NA,74.12,0.74,246.75,0.00,0.00,283.82,NA,NA
2019-01-01 14:00:00,47.68,249.33,4.32,7.78,12.10,27.52,12.78,1.03,17.13,2.50,NA,NA,0.88,62.60,10.24,NA,71.00,0.93,249.40,0.00,0.00,275.93,NA,NA
2019-01-01 15:00:00,45.08,239.45,4.05,7.67,11.75,27.45,13.05,0.96,15.09,2.51,NA,NA,0.88,62.65,10.24,NA,71.62,1.10,254.12,0.00,0.00,212.15,NA,NA
2019-01-01 16:00:00,45.65,235.80,4.02,7.80,11.83,27.47,11.65,0.92,16.02,2.50,NA,NA,0.88,62.60,10.25,NA,69.45,0.69,253.41,0.00,0.00,186.33,NA,NA
2019-01-01 17:00:00,44.77,234.90,3.85,7.93,11.78,27.37,9.93,1.25,8.49,2.50,NA,NA,0.87,62.60,10.24,NA,78.52,0.07,237.26,0.00,0.00,151.02,NA,NA
2019-01-01 18:00:00,43.30,246.13,3.50,8.08,11.57,27.40,8.45,1.95,2.24,2.51,NA,NA,0.88,62.60,10.24,NA,91.55,0.22,122.86,0.00,0.00,137.28,NA,NA
2019-01-01 19:00:00,44.75,265.60,4.15,7.95,12.05,27.48,7.31,2.37,1.76,2.50,NA,NA,0.87,62.59,10.24,NA,94.88,0.31,212.24,0.00,0.00,143.65,NA,NA
2019-01-01 20:00:00,49.17,288.02,3.70,8.08,11.80,27.30,6.80,2.43,1.76,2.50,NA,NA,0.87,62.59,10.25,NA,94.94,0.21,180.02,0.00,0.00,149.52,NA,NA
2019-01-01 21:00:00,52.00,320.95,3.68,7.98,11.65,27.40,6.76,2.57,1.72,2.50,NA,NA,0.87,62.60,10.23,NA,94.95,0.23,187.75,0.00,0.00,151.23,NA,NA
2019-01-01 22:00:00,52.43,300.65,3.68,8.00,11.70,27.44,6.85,3.09,1.70,2.50,NA,NA,0.88,62.60,10.23,NA,94.95,0.30,266.24,0.00,0.00,150.90,NA,NA
2019-01-01 23:00:00,53.40,304.35,3.45,8.30,11.75,27.35,6.58,2.81,1.68,2.50,NA,NA,0.88,62.61,10.22,NA,95.04,0.14,89.67,0.00,0.00,156.28,NA,NA
2019-01-02 00:00:00,56.20,297.20,3.53,8.00,11.52,27.45,6.60,2.76,1.68,2.50,NA,NA,0.87,62.61,10.24,NA,95.23,0.20,170.32,0.00,0.00,154.04,NA,NA
