Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,98.90,183.00,15.02,15.75,30.78,36.61,13.66,1.38,5.85,2.50,7.40,NA,0.87,5.29,10.23,NA,95.38,0.20,296.80,0.00,0.00,79.08,NA,NA
2020-01-01 01:00:00,95.10,172.27,13.20,14.42,27.62,34.52,13.69,1.30,5.85,2.50,7.40,NA,0.87,5.29,10.23,NA,95.38,0.18,270.93,0.00,0.00,81.27,NA,NA
2020-01-01 02:00:00,89.57,163.38,11.68,13.42,25.12,32.86,13.67,1.23,5.86,2.50,7.40,NA,0.87,5.29,10.23,NA,95.33,0.21,164.18,0.00,0.00,83.17,NA,NA
2020-01-01 03:00:00,88.18,148.07,11.05,12.82,23.88,31.75,13.55,1.18,5.83,2.50,7.40,NA,0.87,5.29,10.23,NA,95.21,0.14,184.28,0.00,0.00,82.66,NA,NA
2020-01-01 04:00:00,80.55,142.28,9.93,12.22,22.15,30.76,13.82,1.25,5.84,2.50,7.40,NA,0.87,5.29,10.23,NA,95.32,0.18,195.84,0.00,0.00,89.82,NA,NA
2020-01-01 05:00:00,77.03,137.82,9.12,12.10,21.22,30.38,13.91,1.20,5.85,2.50,7.40,NA,0.87,5.29,10.22,NA,95.43,0.29,252.25,0.00,0.00,92.32,NA,NA
2020-01-01 06:00:00,72.05,134.42,8.93,11.42,20.35,30.32,13.88,1.17,5.90,2.50,7.40,NA,0.87,5.29,10.23,NA,95.40,0.29,234.85,0.00,0.00,88.30,NA,NA
2020-01-01 07:00:00,66.53,117.45,9.18,11.00,20.20,30.45,13.77,1.18,5.85,2.50,7.40,NA,0.87,5.29,10.23,NA,95.43,0.17,236.02,0.00,0.00,106.02,NA,NA
2020-01-01 08:00:00,63.85,124.18,10.52,13.22,23.78,31.10,13.80,1.23,5.89,2.50,7.40,NA,0.87,5.29,10.23,NA,95.26,0.43,24.66,0.00,0.00,154.52,NA,NA
2020-01-01 09:00:00,69.53,129.78,11.55,24.48,36.02,29.42,15.05,1.25,6.16,2.50,7.40,NA,0.87,5.29,10.23,NA,83.46,0.48,84.25,0.00,0.00,260.01,NA,NA
2020-01-01 10:00:00,76.32,151.42,7.90,22.52,30.42,33.37,44.38,1.06,11.76,2.50,7.40,NA,0.87,5.29,10.23,NA,60.66,0.75,86.46,0.00,0.00,324.36,NA,NA
2020-01-01 11:00:00,76.05,144.22,5.32,13.60,18.95,28.57,NA,0.72,18.80,2.50,7.40,NA,0.87,5.29,10.22,NA,49.82,0.88,101.29,0.00,0.00,347.01,NA,NA
2020-01-01 12:00:00,60.05,123.18,5.18,9.07,14.25,25.56,NA,0.87,20.37,2.50,7.40,NA,0.87,5.29,10.22,NA,46.82,1.02,130.59,0.00,0.00,423.38,NA,NA
2020-01-01 13:00:00,56.32,100.30,5.07,6.60,11.65,24.30,NA,0.82,23.46,2.50,7.40,NA,0.87,5.29,10.23,NA,49.26,1.11,134.02,0.00,0.00,217.20,NA,NA
2020-01-01 14:00:00,53.75,88.50,5.12,6.00,11.12,23.95,NA,0.88,24.60,2.50,7.40,NA,0.87,5.29,10.23,NA,51.32,0.98,127.45,0.00,0.00,154.41,NA,NA
